"2665";"TROY";"Troy";"Trojans";"#AC0021";"#CCCCCC";"0";NULL;NULL;"Troy.gif";"Sun Belt";;"troy";"ACTIVE"
"110";"WKY";"Western Kentucky";"Hilltoppers";"#BC0102";"#ffffff";"0";NULL;NULL;"WesternKentucky.gif";"Sun Belt";;"wky";"ACTIVE"
"80";"BOSU";"Boise State";"Broncos";"#0E2B8D";"#FD5A1E";"0";NULL;NULL;"BoiseState.gif";"WAC";;"bosu";"ACTIVE"
"290";"FRES";"Fresno State";"Bulldogs";"#000099";"#E41A53";"0";NULL;NULL;"FresnoState.gif";"WAC";;"fres";"ACTIVE"
"74";"HAW";"Hawaii";"Warriors";"#004F3C";"#000000";"0";NULL;NULL;"Hawaii.gif";"WAC";;"haw";"ACTIVE"
"82";"IDHO";"Idaho";"Vandals";"#e9af10";"#ffffff";"0";NULL;NULL;"Idaho.gif";"WAC";;"idho";"ACTIVE"
"267";"LATC";"Louisiana Tech";"Bulldogs";"#000083";"#0069BF";"0";NULL;NULL;"LouisianaTech.gif";"WAC";;"latc";"ACTIVE"
"2452";"UNV";"Nevada";"Wolf Pack";"#003062";"#CCCCCC";"0";NULL;NULL;"Nevada.gif";"WAC";;"unv";"ACTIVE"
"178";"NMST";"New Mexico State";"Aggies";"#990000";"#848484";"0";NULL;NULL;"NewMexicoState.gif";"WAC";;"nmst";"ACTIVE"
"47";"SJSU";"San Jose State";"Spartans";"#6189C0";"#FFD70C";"0";NULL;NULL;"SanJoseState.gif";"WAC";;"sjsu";"ACTIVE"
"340";"UST";"Utah State";"Aggies";"#020667";"#CC6600";"0";NULL;NULL;"UtahState.gif";"WAC";;"ust";"ACTIVE"
"343";"EW";"Eastern Washington";"Eagles";NULL;NULL;"0";NULL;NULL;"EasternWashington.gif";"Big Sky";;NULL;"ACTIVE"
"316";"IS";"Idaho State";"Bengals";NULL;NULL;"0";NULL;NULL;"IdahoState.gif";"Big Sky";;"idsu";"ACTIVE"
"161";"MON";"Montana";"Grizzlies";NULL;NULL;"0";NULL;NULL;"Montana.gif";"Big Sky";;NULL;"ACTIVE"
"159";"MST";"Montana State";"Bobcats";NULL;NULL;"0";NULL;NULL;"MontanaState.gif";"Big Sky";;NULL;"ACTIVE"
"2476";"NAZ";"Northern Arizona";"Lumberjacks";NULL;NULL;"0";NULL;NULL;"NorthernArizona.gif";"Big Sky";;NULL;"ACTIVE"
"2470";"NCOL";"Northern Colorado";"Bears";NULL;NULL;"0";NULL;NULL;"NorthernColorado.gif";"Big Sky";;NULL;"ACTIVE"
"2514";"PST";"Portland State";"Vikings";NULL;NULL;"0";NULL;NULL;"PortlandState.gif";"Big Sky";;NULL;"ACTIVE"
